Date,Q1,Q2,Q3,Q4,Q5
February 25 2015,SJM EL SYY MNST,K TSN WMT KMB,PEP PG KR TAP,GIS HRL HSY MDLZ,MKC KHC PM WBA
March 25 2015,SJM EL HRL SYY,TSN WMT KR KMB,PEP MNST TAP PG,K GIS HSY MDLZ,MKC KHC PM WBA
April 22 2015,SJM EL HRL SYY,TSN WMT PG KR,PEP MNST MDLZ TAP,K GIS KMB HSY,MKC KHC PM WBA
May 20 2015,SJM HRL SYY TAP,MDLZ K PEP TSN,HSY PG KR WMT,MNST KMB GIS EL,PM MKC KHC WBA
June 17 2015,SJM MDLZ SYY TAP,K TSN PEP WMT,HSY MNST PG KR,KMB GIS HRL EL,PM MKC KHC WBA
July 15 2015,MDLZ SYY TAP KR,TSN K PEP WMT,HSY PG SJM MNST,GIS HRL KMB EL,MKC PM KHC WBA
August 12 2015,MNST K SYY TSN,MDLZ TAP PG KR,WMT HSY PEP SJM,GIS PM KMB EL,MKC HRL KHC WBA
September 09 2015,SJM MNST K TSN,MDLZ TAP PG KR,HRL PEP WMT SYY,HSY EL GIS PM,MKC KMB KHC WBA
October 07 2015,SJM MNST K TSN,MDLZ PEP TAP PG,KR HRL WMT SYY,HSY GIS EL PM,MKC KMB KHC WBA
November 04 2015,SJM MNST SYY TSN,K MDLZ PEP TAP,KR HRL WMT EL,HSY PG GIS PM,MKC KHC KMB WBA
December 02 2015,SJM K MDLZ SYY,MNST PEP TAP HRL,WMT KR EL PG,HSY GIS PM KMB,MKC KHC TSN WBA
December 30 2015,K MDLZ PEP SYY,MNST TAP WMT EL,HSY PG KR HRL,GIS KMB PM SJM,MKC KHC TSN WBA
January 27 2016,WBA K MDLZ SYY,MNST PEP TAP WMT,EL HSY PG KR,GIS HRL PM KMB,MKC SJM KHC TSN
February 24 2016,EL WBA TAP PEP,MNST K WMT SYY,HSY KR PG MDLZ,TSN HRL GIS KMB,SJM MKC KHC PM
March 23 2016,EL WBA K TAP,HRL PEP WMT SYY,PG HSY MNST KR,SJM TSN KMB MDLZ,GIS MKC KHC PM
April 20 2016,EL WBA K TAP,HRL PG PEP SYY,SJM HSY MNST MDLZ,TSN GIS KMB MKC,WMT KR KHC PM
May 18 2016,EL WBA MNST SYY,HRL K PEP TAP,SJM HSY MDLZ PG,GIS MKC TSN WMT,KMB KR KHC PM
June 15 2016,EL WBA MNST SYY,HRL K PEP TAP,HSY MDLZ WMT PG,SJM GIS TSN MKC,KMB KR KHC PM
July 13 2016,EL HRL MNST SYY,K PEP TAP MKC,HSY MDLZ WMT KR,WBA PG TSN SJM,KMB GIS KHC PM
August 10 2016,EL KHC MNST PG,HRL SYY K MKC,PEP TAP HSY MDLZ,WBA KR WMT SJM,TSN GIS KMB PM
September 07 2016,SJM KHC MNST PG,PEP TAP K MKC,MDLZ HSY HRL WMT,WBA KR EL SYY,KMB TSN GIS PM
October 05 2016,SJM KHC MNST PG,PEP TAP K MKC,MDLZ HSY HRL WMT,WBA KR EL SYY,GIS TSN KMB PM
November 02 2016,SJM KHC MNST K,TAP MDLZ PEP MKC,WMT PG HSY HRL,KR EL SYY TSN,WBA GIS KMB PM
November 30 2016,EL TAP MNST K,MDLZ SYY PEP MKC,HSY HRL WMT PG,SJM KHC KR WBA,GIS KMB PM TSN
December 28 2016,EL TAP MNST K,MDLZ PEP SYY MKC,WMT HSY KHC PG,SJM KR HRL WBA,GIS KMB PM TSN
January 25 2017,EL TAP MNST K,MDLZ PEP SYY MKC,WMT KHC HSY WBA,SJM KR PG HRL,GIS KMB PM TSN
February 22 2017,EL HSY MNST MDLZ,SYY WMT PEP WBA,TAP KHC KR PG,SJM HRL KMB PM,TSN K GIS MKC
March 22 2017,SJM EL HSY HRL,PEP SYY WMT WBA,TAP KR PG MNST,KHC MDLZ KMB PM,TSN K GIS MKC
April 19 2017,SJM EL HSY HRL,PEP SYY WMT MNST,TAP PG WBA KMB,TSN KHC MDLZ PM,K GIS KR MKC
May 17 2017,SJM EL K SYY,HRL TAP HSY PG,PEP MDLZ WMT WBA,TSN KHC MNST PM,GIS KMB KR MKC
June 14 2017,SJM EL K SYY,TAP WMT HSY HRL,PEP PG MDLZ WBA,TSN KHC MNST PM,KMB GIS KR MKC
July 12 2017,EL K SYY WBA,HRL TAP WMT HSY,KR MDLZ PEP PG,TSN KHC PM MNST,SJM KMB GIS MKC
August 09 2017,EL SYY WBA KHC,TAP K HRL WMT,KR MDLZ PEP PG,HSY TSN PM MNST,SJM KMB GIS MKC
September 06 2017,K KHC WBA MNST,TAP HRL MDLZ WMT,KR PEP EL PG,HSY TSN PM SYY,SJM KMB GIS MKC
October 04 2017,K WBA KHC MNST,TAP HRL WMT MDLZ,PEP KR EL PG,HSY TSN SYY PM,MKC SJM KMB GIS
November 01 2017,KR HRL SJM EL,PG HSY PM KMB,K MDLZ PEP TSN,MNST KHC WBA SYY,MKC TAP GIS WMT
